,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,precipitation_probability_max,weather,weather_img
2024-05-14,51,21.7,14.1,22.3,13.1,2024-05-14T04:37,2024-05-14T18:38,10,Light Rain,Light_Rain.png
2024-05-15,51,23.0,11.1,24.6,10.7,2024-05-15T04:36,2024-05-15T18:39,10,Light Rain,Light_Rain.png
2024-05-16,2,23.0,12.5,24.8,12.7,2024-05-16T04:35,2024-05-16T18:40,16,Partly Cloudy,Partly_Cloudy.png
2024-05-17,3,24.6,12.6,25.8,11.6,2024-05-17T04:35,2024-05-17T18:41,3,Cloudy,Cloudy.png
2024-05-18,3,26.0,13.3,26.9,13.0,2024-05-18T04:34,2024-05-18T18:42,0,Cloudy,Cloudy.png
2024-05-19,3,25.0,14.8,26.6,15.8,2024-05-19T04:33,2024-05-19T18:42,13,Cloudy,Cloudy.png
2024-05-20,61,22.8,17.0,23.6,18.6,2024-05-20T04:32,2024-05-20T18:43,48,Rain,Rain.png
